,player_name,player_age,Total_kills,Headshot_in_%,Total_deaths,Kills_deaths,Damage_in_Round,Grenade_dmg_in_Round,Maps_played,Rounds_played,Kills_in_round,Assists_in_round,Deaths_in_round,Saved_by_teammate_in_round,Saved_teammates_in_round,Rating
510,guidimon,24.0,2561,56.0,2480,1.03,81.9,4.0,126,3413,0.75,0.14,0.73,0.11,0.11,1.1
511,nin9,23.0,6178,36.8,5592,1.1,75.0,4.4,332,8739,0.71,0.11,0.64,0.09,0.1,1.1
512,c0llins,23.0,4603,56.1,4334,1.06,79.6,3.9,237,6244,0.74,0.12,0.69,0.09,0.12,1.1
513,Grim,21.0,15413,48.0,14655,1.05,78.1,3.6,817,21472,0.72,0.14,0.68,0.12,0.13,1.1
514,Ramz1kBO$$,22.0,8110,33.8,7557,1.07,75.9,1.5,425,11070,0.73,0.1,0.68,0.07,0.08,1.09
515,cajunb,32.0,31737,41.1,28859,1.1,73.5,3.1,1732,45317,0.7,0.12,0.64,0.09,0.1,1.05
516,zWin,24.0,1207,43.2,1166,1.04,80.1,3.0,61,1623,0.74,0.11,0.72,0.1,0.11,1.1
517,glorinsz,28.0,1359,40.6,1279,1.06,82.4,3.4,72,1852,0.73,0.12,0.69,0.1,0.12,1.05
518,lainNy,22.0,2125,45.7,2021,1.05,80.1,4.4,107,2881,0.74,0.14,0.7,0.1,0.11,1.1
519,HZ,31.0,9305,49.4,8614,1.08,81.7,3.8,500,12856,0.72,0.17,0.67,0.13,0.12,1.05
520,Qikert,22.0,22314,56.4,20324,1.1,77.8,4.7,1198,31659,0.7,0.13,0.64,0.1,0.1,1.11
521,Swahn,23.0,5881,25.1,5391,1.09,73.8,3.6,316,8266,0.71,0.1,0.65,0.1,0.1,1.09
522,Daveys,21.0,4741,50.9,4330,1.09,73.5,3.1,267,6672,0.71,0.11,0.65,0.09,0.11,1.05
523,Mr.six,25.0,4678,45.7,4478,1.04,81.1,2.6,244,6220,0.75,0.13,0.72,0.1,0.11,1.08
524,mou,30.0,28048,28.0,25564,1.1,73.9,4.0,1489,39475,0.71,0.11,0.65,0.08,0.09,1.05
525,Marzil,24.0,1461,40.4,1397,1.05,80.5,3.7,78,1997,0.73,0.14,0.7,0.11,0.07,1.05
526,juanflatroo,24.0,9989,57.1,9609,1.04,83.0,5.3,492,13165,0.76,0.13,0.73,0.09,0.1,1.1
527,jL,22.0,4238,48.9,3946,1.07,75.0,4.0,222,5974,0.71,0.12,0.66,0.1,0.1,1.08
