,player_name,player_age,Total_kills,Headshot_in_%,Total_deaths,Kills_deaths,Damage_in_Round,Grenade_dmg_in_Round,Maps_played,Rounds_played,Kills_in_round,Assists_in_round,Deaths_in_round,Saved_by_teammate_in_round,Saved_teammates_in_round,Rating
628,russ,22.0,1351,57.6,1297,1.04,79.9,2.0,72,1865,0.72,0.12,0.7,0.1,0.11,1.07
629,zewsy,24.0,11142,41.0,10475,1.06,79.0,3.4,618,15666,0.71,0.16,0.67,0.11,0.1,1.04
630,massacRe,21.0,2235,43.4,2105,1.06,79.9,6.7,122,3144,0.71,0.15,0.67,0.1,0.12,1.1
631,togs,20.0,421,47.3,400,1.05,81.3,4.4,23,585,0.72,0.15,0.68,0.09,0.09,1.09
632,STOMP,26.0,15139,26.1,13810,1.1,73.3,3.9,809,21729,0.7,0.11,0.64,0.08,0.09,1.09
633,Chuti,30.0,2600,48.0,2496,1.04,84.0,5.3,134,3524,0.74,0.15,0.71,0.08,0.08,1.04
634,buster,22.0,21779,48.1,19757,1.1,73.8,3.5,1204,31803,0.68,0.11,0.62,0.08,0.09,1.09
635,Mewpy,19.0,670,25.5,645,1.04,76.8,2.2,36,931,0.72,0.12,0.69,0.09,0.07,1.09
636,PNDLM,21.0,1382,34.7,1335,1.04,81.6,4.8,68,1843,0.75,0.13,0.72,0.09,0.11,1.1
637,osama,31.0,1922,55.8,1840,1.04,79.2,2.9,97,2567,0.75,0.14,0.72,0.1,0.1,1.04
639,shoushi,27.0,796,41.5,797,1.0,83.8,2.0,39,1047,0.76,0.13,0.76,0.11,0.09,1.04
640,dyvo,23.0,1408,52.1,1348,1.04,79.1,2.7,73,1904,0.74,0.13,0.71,0.11,0.12,1.08
641,kobruh,20.0,4501,36.3,4302,1.05,78.3,4.7,239,6319,0.71,0.14,0.68,0.09,0.09,1.1
642,mawth,22.0,4411,34.9,4188,1.05,75.3,3.5,238,6191,0.71,0.11,0.68,0.09,0.1,1.07
643,Snakes,19.0,7287,43.3,6826,1.07,77.3,4.5,403,10328,0.71,0.13,0.66,0.11,0.1,1.09
644,bee,31.0,404,46.5,390,1.04,80.4,2.1,22,564,0.72,0.16,0.69,0.1,0.09,1.11
645,Hiko,31.0,16611,53.9,15079,1.1,71.6,5.0,937,24398,0.68,0.14,0.62,0.1,0.11,1.04
646,TENGU9,26.0,794,37.8,746,1.06,72.5,2.4,45,1120,0.71,0.12,0.67,0.12,0.15,1.04
647,Geniuss,23.0,7345,56.4,7036,1.04,78.5,3.3,398,10155,0.72,0.13,0.69,0.11,0.11,1.11
648,deStiny,31.0,5020,43.0,4926,1.02,85.2,6.7,262,6778,0.74,0.17,0.73,0.08,0.07,1.04
649,shadow,26.0,3641,27.9,3341,1.09,72.2,1.9,199,5204,0.7,0.1,0.64,0.08,0.11,1.07
650,Snax,28.0,38895,36.5,36113,1.08,74.8,4.4,2093,55200,0.7,0.13,0.65,0.08,0.08,1.04
651,DGL,23.0,1081,32.4,1020,1.06,70.0,1.5,59,1548,0.7,0.08,0.66,0.08,0.1,1.04
652,buue,23.0,2878,48.2,2722,1.06,80.4,5.2,152,4015,0.72,0.15,0.68,0.09,0.11,1.08
653,Lucky,23.0,20018,41.6,18516,1.08,77.2,6.4,1086,28900,0.69,0.14,0.64,0.1,0.1,1.1
654,eraa,20.0,8730,33.2,8180,1.07,73.9,3.3,452,12234,0.71,0.1,0.67,0.09,0.09,1.06
655,HSK,27.0,9678,31.1,8833,1.1,75.2,4.5,540,13851,0.7,0.14,0.64,0.12,0.12,1.04
656,Blogg1s,22.0,3429,32.1,3259,1.05,73.8,2.1,172,4744,0.72,0.09,0.69,0.08,0.08,1.07
657,Reality,24.0,6626,31.2,6167,1.07,73.7,3.5,367,9374,0.71,0.11,0.66,0.09,0.09,1.07
658,KAB0M,28.0,4399,45.2,4079,1.08,83.0,7.0,235,6154,0.71,0.16,0.66,0.09,0.1,1.04
659,MEEHA,27.0,365,40.0,336,1.09,77.3,3.5,20,499,0.73,0.14,0.67,0.13,0.1,1.1
660,JUST,25.0,14033,55.3,13196,1.06,75.8,5.4,765,20177,0.7,0.13,0.65,0.1,0.11,1.04
661,Kntz,24.0,8655,47.4,8026,1.08,76.2,2.7,473,12167,0.71,0.12,0.66,0.1,0.11,1.08
662,xpMONSTER,27.0,449,44.1,433,1.04,82.9,5.9,24,626,0.72,0.16,0.69,0.09,0.1,1.11
663,MV,20.0,919,51.6,883,1.04,78.8,3.1,49,1264,0.73,0.12,0.7,0.09,0.15,1.06
664,IyeN,24.0,6695,35.2,6456,1.04,81.0,4.5,352,9102,0.74,0.14,0.71,0.08,0.07,1.04
665,ofvirkur,29.0,1226,28.2,1169,1.05,75.7,3.5,66,1700,0.72,0.13,0.69,0.11,0.1,1.04
666,BaNaNaZz,27.0,489,38.2,471,1.04,75.2,1.1,24,646,0.76,0.1,0.73,0.1,0.07,1.04
667,sam_A,24.0,4554,38.5,4291,1.06,77.8,4.2,250,6314,0.72,0.13,0.68,0.1,0.09,1.1
668,Bubzkji,23.0,15534,50.8,14571,1.07,80.4,5.4,817,21619,0.72,0.14,0.67,0.09,0.1,1.04
669,xTreMe,21.0,460,52.8,439,1.05,79.3,5.2,24,637,0.72,0.14,0.69,0.1,0.1,1.09
670,Blytz,21.0,3543,50.5,3435,1.03,79.7,3.4,189,4903,0.72,0.14,0.7,0.1,0.12,1.08
671,PANIX,23.0,4564,30.0,4295,1.06,73.9,4.0,245,6457,0.71,0.1,0.67,0.09,0.09,1.08
672,Jjong,23.0,663,46.9,621,1.07,77.7,1.9,37,929,0.71,0.12,0.67,0.1,0.09,1.08
673,brzer,20.0,1259,35.3,1145,1.1,70.4,3.5,69,1811,0.7,0.09,0.63,0.1,0.1,1.08
674,Nino,22.0,504,36.5,482,1.05,74.3,2.2,29,699,0.72,0.1,0.69,0.11,0.07,1.09
675,susp,16.0,821,51.2,777,1.06,81.9,4.2,43,1149,0.71,0.15,0.68,0.09,0.11,1.11
676,L0NER,22.0,2964,43.8,2789,1.06,71.4,2.8,169,4235,0.7,0.1,0.66,0.11,0.12,1.07
677,Delpan,32.0,2855,26.8,2709,1.05,68.2,4.1,154,3996,0.71,0.12,0.68,0.07,0.09,1.04
678,natsu,30.0,710,50.3,677,1.05,88.9,5.4,39,955,0.74,0.2,0.71,0.12,0.1,1.04
679,ANDROID,27.0,15394,50.7,14358,1.07,75.7,3.0,835,21741,0.71,0.13,0.66,0.1,0.12,1.04
680,izzatR,24.0,1316,46.3,1250,1.05,81.1,3.1,71,1828,0.72,0.14,0.68,0.09,0.09,1.04
681,mupzG,23.0,1407,49.0,1422,0.99,82.8,1.4,76,1895,0.74,0.15,0.75,0.07,0.1,1.04
683,LOVEYY,32.0,12939,52.0,12240,1.06,78.0,3.5,708,17977,0.72,0.15,0.68,0.11,0.11,1.04
684,land1n,28.0,13113,31.1,11917,1.1,69.8,2.3,744,19462,0.67,0.11,0.61,0.08,0.09,1.04
685,stax,21.0,4335,50.2,4017,1.08,73.1,2.9,243,6188,0.7,0.11,0.65,0.11,0.12,1.07
686,Hezz,21.0,985,35.9,914,1.08,75.6,3.3,55,1397,0.71,0.12,0.65,0.08,0.11,1.09
687,seth,21.0,1080,32.6,1023,1.06,66.7,2.4,58,1554,0.69,0.08,0.66,0.09,0.1,1.02
688,VLDN,21.0,807,54.4,760,1.06,77.4,5.0,39,1140,0.71,0.11,0.67,0.09,0.12,1.08
689,imoRR,22.0,10082,50.4,9886,1.02,80.6,4.1,517,13781,0.73,0.13,0.72,0.1,0.09,1.11
690,artems0n,22.0,360,36.7,335,1.07,73.8,4.7,21,510,0.71,0.11,0.66,0.06,0.1,1.02
691,Dodz,32.0,2970,47.7,2860,1.04,82.3,4.0,158,4055,0.73,0.14,0.71,0.08,0.08,1.04
692,phzy,19.0,6886,29.2,6294,1.09,72.2,2.3,375,10066,0.68,0.1,0.63,0.08,0.08,1.07
693,COLON,30.0,2384,37.1,2292,1.04,77.0,4.4,130,3318,0.72,0.13,0.69,0.1,0.09,1.04
694,pavv,24.0,969,46.4,900,1.08,78.8,4.4,55,1367,0.71,0.15,0.66,0.08,0.12,1.09
695,decenty,17.0,1107,55.3,1025,1.08,75.9,2.6,59,1560,0.71,0.11,0.66,0.09,0.12,1.07
696,jkaem,27.0,22605,51.8,21722,1.04,79.5,3.6,1181,31149,0.73,0.14,0.7,0.11,0.11,1.04
697,swicher,19.0,642,49.7,611,1.05,78.8,3.3,36,897,0.72,0.13,0.68,0.12,0.14,1.08
698,DiMKE,28.0,10635,47.1,10103,1.05,79.5,4.2,571,14931,0.71,0.15,0.68,0.11,0.13,1.04
699,PLAYER1,26.0,2733,45.6,2567,1.06,76.7,4.5,148,3886,0.7,0.14,0.66,0.1,0.12,1.08
700,DannyG,18.0,6593,46.9,6288,1.05,79.6,4.4,354,9145,0.72,0.14,0.69,0.1,0.1,1.1
701,4sh0t,29.0,2569,25.6,2378,1.08,70.8,2.9,144,3742,0.69,0.11,0.64,0.09,0.09,1.03
702,tconnors,24.0,3597,55.3,3362,1.07,75.5,3.5,195,5080,0.71,0.13,0.66,0.12,0.14,1.08
703,takbok,29.0,2617,44.2,2406,1.09,75.3,5.2,151,3769,0.69,0.15,0.64,0.1,0.11,1.03
704,Davidp,27.0,14255,39.7,13246,1.08,77.9,7.6,774,20539,0.69,0.14,0.64,0.07,0.08,1.03
705,tb,31.0,11088,49.9,10380,1.07,76.7,3.5,619,15737,0.7,0.15,0.66,0.11,0.11,1.03
706,KiKO,23.0,368,42.4,350,1.05,77.6,3.6,20,495,0.74,0.1,0.71,0.09,0.1,1.09
707,spuffy,22.0,433,41.8,423,1.02,79.1,5.5,23,585,0.74,0.12,0.72,0.11,0.12,1.05
708,emilio,28.0,2742,51.0,2621,1.05,76.1,5.3,152,3887,0.71,0.15,0.67,0.1,0.1,1.03
709,buda,18.0,633,48.0,624,1.01,82.1,3.0,33,886,0.71,0.17,0.7,0.12,0.16,1.13
710,max,22.0,9176,45.9,8591,1.07,78.9,3.9,494,13014,0.71,0.14,0.66,0.11,0.1,1.11
711,beg0d,19.0,648,42.7,602,1.08,77.6,3.9,34,920,0.7,0.11,0.65,0.11,0.12,1.1
713,syon,26.0,649,39.6,644,1.01,74.3,3.7,35,887,0.73,0.09,0.73,0.09,0.1,1.03
714,ADDICT,21.0,4717,59.3,4399,1.07,72.3,4.4,265,6899,0.68,0.11,0.64,0.11,0.13,1.07
715,sjuush,22.0,13658,53.0,12765,1.07,75.9,3.8,752,19874,0.69,0.13,0.64,0.1,0.11,1.09
716,dEE,25.0,8169,33.5,7618,1.07,72.7,2.9,439,11583,0.71,0.1,0.66,0.09,0.1,1.07
717,tarik,25.0,26620,37.8,25304,1.05,76.8,2.9,1438,37326,0.71,0.14,0.68,0.11,0.1,1.03
718,smiley,24.0,7575,28.6,6959,1.09,73.2,3.2,407,10994,0.69,0.1,0.63,0.09,0.09,1.08
719,kibstar,20.0,733,49.0,692,1.06,78.0,1.5,39,1020,0.72,0.12,0.68,0.08,0.12,1.06
720,waffe,25.0,3979,43.4,3782,1.05,79.4,1.7,213,5440,0.73,0.13,0.7,0.09,0.11,1.08
721,182,23.0,394,45.7,368,1.07,72.5,3.6,22,590,0.67,0.12,0.62,0.09,0.1,1.06
722,rAge,24.0,6850,31.8,6166,1.11,71.2,4.5,382,10184,0.67,0.1,0.61,0.07,0.09,1.07
723,CaptaiN,22.0,1234,39.0,1174,1.05,78.6,3.4,63,1732,0.71,0.14,0.68,0.1,0.11,1.03
724,captainMo,32.0,14780,40.1,14103,1.05,74.4,2.5,802,20665,0.72,0.12,0.68,0.1,0.1,1.03
725,HARMZ,24.0,581,51.5,575,1.01,82.4,5.3,33,803,0.72,0.15,0.72,0.1,0.08,1.11
726,Histoire,20.0,388,53.4,361,1.07,74.8,1.5,22,541,0.72,0.11,0.67,0.13,0.12,1.07
727,NK4Y,25.0,8697,62.1,8268,1.05,76.3,3.6,480,12325,0.71,0.14,0.67,0.1,0.11,1.07
728,BooMie,22.0,696,28.0,677,1.03,74.3,2.0,39,989,0.7,0.13,0.68,0.11,0.1,1.05
729,Excali,24.0,2389,55.3,2249,1.06,74.6,3.5,138,3439,0.69,0.13,0.65,0.11,0.11,1.09
730,rekonz,20.0,2583,51.3,2488,1.04,76.8,4.2,141,3635,0.71,0.14,0.68,0.11,0.13,1.08
731,dobu,22.0,13792,54.5,13183,1.05,79.8,3.3,737,19296,0.71,0.15,0.68,0.1,0.1,1.03
732,aw3some,22.0,393,47.3,395,0.99,83.2,2.2,20,524,0.75,0.14,0.75,0.1,0.1,1.08
733,USTILO,28.0,19924,46.1,19071,1.04,77.5,3.2,1094,28252,0.71,0.14,0.68,0.1,0.1,1.03
734,Subroza,24.0,11748,48.4,11373,1.03,80.7,5.2,623,16275,0.72,0.15,0.7,0.09,0.09,1.1
735,FaNg,19.0,10695,56.1,10108,1.06,77.1,4.0,576,14967,0.71,0.13,0.68,0.11,0.1,1.1
736,Karma,22.0,1061,31.8,1001,1.06,73.3,3.6,57,1503,0.71,0.11,0.67,0.09,0.09,1.06
737,JonY BoY,30.0,7530,34.8,7146,1.05,75.3,3.7,418,10732,0.7,0.11,0.67,0.08,0.09,1.03
738,juho,26.0,14482,45.7,14204,1.02,79.0,2.3,752,19789,0.73,0.14,0.72,0.1,0.09,1.03
739,KLUMZ,21.0,1589,55.5,1559,1.02,82.5,3.9,83,2130,0.75,0.13,0.73,0.11,0.1,1.1
740,dipparn,24.0,3573,48.1,3381,1.06,75.3,2.6,191,5044,0.71,0.13,0.67,0.11,0.13,1.03
741,Lyhn,30.0,625,41.8,596,1.05,72.5,2.7,32,868,0.72,0.12,0.69,0.08,0.12,1.05
742,zedzke,26.0,2443,30.7,2318,1.05,71.0,1.5,136,3443,0.71,0.09,0.67,0.07,0.1,1.04
743,szejn,19.0,8516,51.4,8208,1.04,78.4,3.9,452,12094,0.7,0.13,0.68,0.09,0.09,1.08
744,LEEROY,24.0,4740,46.1,4593,1.03,80.3,6.3,253,6585,0.72,0.17,0.7,0.12,0.13,1.03
746,matios,19.0,2054,55.4,1990,1.03,78.7,4.9,106,2918,0.7,0.14,0.68,0.08,0.1,1.07
747,naturaL,23.0,1099,47.0,1099,1.0,84.9,5.8,59,1518,0.72,0.19,0.72,0.1,0.09,1.03
748,kaiser,28.0,710,55.8,688,1.03,77.6,5.0,38,1004,0.71,0.12,0.69,0.06,0.08,1.07
749,v1king,20.0,541,49.2,495,1.09,68.6,2.8,30,808,0.67,0.09,0.61,0.08,0.13,1.06
750,HECTOz,23.0,6617,28.9,6326,1.05,71.5,1.2,354,9307,0.71,0.09,0.68,0.09,0.1,1.03
751,gaabxx,24.0,412,24.8,384,1.07,74.0,3.9,25,607,0.68,0.13,0.63,0.09,0.08,1.09
752,faker,31.0,1204,46.1,1149,1.05,71.7,5.5,69,1718,0.7,0.15,0.67,0.07,0.09,1.03
753,alex,26.0,22452,45.6,21046,1.07,76.4,4.5,1218,32238,0.7,0.14,0.65,0.09,0.11,1.03
755,shushan,24.0,2078,43.5,1965,1.06,70.5,2.5,113,2997,0.69,0.09,0.66,0.1,0.1,1.05
756,LoWkii,25.0,2079,34.1,2002,1.04,73.4,3.8,114,2991,0.7,0.11,0.67,0.08,0.09,1.03
757,J0hnnyP,29.0,1068,44.3,1005,1.06,70.8,2.7,57,1513,0.71,0.11,0.66,0.1,0.12,1.03
758,cxzi,21.0,7196,37.2,7042,1.02,81.6,4.9,379,9822,0.73,0.14,0.72,0.1,0.08,1.1
759,kressy,25.0,19861,48.0,18644,1.07,75.8,3.8,1071,28697,0.69,0.13,0.65,0.1,0.1,1.08
760,REZ,23.0,23384,49.4,22223,1.05,78.2,3.8,1264,33290,0.7,0.14,0.67,0.1,0.1,1.03
761,yam,33.0,9755,34.6,9105,1.07,74.5,4.9,547,14003,0.7,0.13,0.65,0.09,0.09,1.03
762,AiyvaN,25.0,12619,37.8,12006,1.05,74.2,3.2,692,18003,0.7,0.11,0.67,0.1,0.1,1.03
763,GreeNz,26.0,1330,45.7,1306,1.02,83.1,4.7,68,1776,0.75,0.15,0.74,0.11,0.1,1.12
764,snav,20.0,1319,44.3,1260,1.05,81.8,6.1,70,1811,0.73,0.15,0.7,0.11,0.11,1.1
765,REAL1ZE,22.0,1579,31.4,1442,1.1,74.0,3.8,84,2272,0.69,0.11,0.63,0.08,0.09,1.03
766,Patsi,18.0,8162,45.7,7878,1.04,78.7,3.7,429,11498,0.71,0.13,0.69,0.11,0.1,1.09
767,pablow,28.0,470,31.5,434,1.08,71.2,2.2,27,677,0.69,0.1,0.64,0.07,0.12,1.08
768,snedker,21.0,4889,37.5,4530,1.08,70.5,2.3,271,7016,0.7,0.09,0.65,0.1,0.11,1.06
769,Jabbo,21.0,429,50.3,413,1.04,85.8,6.2,22,584,0.73,0.17,0.71,0.09,0.09,1.1
770,mave,23.0,542,36.0,507,1.07,72.0,3.4,29,775,0.7,0.09,0.65,0.07,0.08,1.05
771,sperr,27.0,3952,33.0,3803,1.04,77.8,3.3,217,5554,0.71,0.13,0.68,0.1,0.11,1.03
772,versa,19.0,5096,44.6,4846,1.05,76.8,4.3,285,7306,0.7,0.14,0.66,0.09,0.1,1.08
773,oBo,18.0,6772,51.3,6466,1.05,78.4,4.3,362,9587,0.71,0.14,0.67,0.11,0.11,1.09
774,fleav,21.0,10361,40.8,10027,1.03,79.9,2.7,541,14235,0.73,0.13,0.7,0.09,0.1,1.08
776,F1KU,18.0,10054,55.0,9697,1.04,77.9,4.9,528,14343,0.7,0.13,0.68,0.09,0.09,1.08
777,Relaxa,28.0,21399,30.1,19453,1.1,72.4,4.3,1198,31928,0.67,0.12,0.61,0.09,0.09,1.03
778,allee,28.0,761,36.4,749,1.02,75.6,3.0,41,1062,0.72,0.13,0.71,0.09,0.09,1.05
779,znajder,28.0,19778,47.9,18708,1.06,76.8,4.3,1050,27577,0.72,0.15,0.68,0.1,0.1,1.03
780,DEV7L,25.0,9988,34.2,9406,1.06,72.4,2.7,549,14256,0.7,0.1,0.66,0.09,0.1,1.03
781,Empera,26.0,1397,49.0,1328,1.05,76.8,2.7,76,1950,0.72,0.13,0.68,0.11,0.12,1.1
782,MisteM,20.0,3332,49.6,3244,1.03,78.3,4.4,180,4680,0.71,0.13,0.69,0.09,0.09,1.07
783,byr9,23.0,4207,53.8,4068,1.03,80.1,5.5,225,6016,0.7,0.14,0.68,0.1,0.09,1.1
784,flamie,24.0,28354,54.4,26886,1.05,75.5,3.8,1535,40450,0.7,0.14,0.66,0.09,0.09,1.03
785,Tender,19.0,1153,63.3,1142,1.01,79.6,3.7,60,1587,0.73,0.13,0.72,0.08,0.11,1.08
786,kise,19.0,3458,34.7,3244,1.07,71.3,1.9,185,4946,0.7,0.08,0.66,0.08,0.09,1.06
787,Missa,26.0,1922,46.3,1804,1.07,75.5,3.1,108,2738,0.7,0.14,0.66,0.11,0.11,1.03
788,sLowi,25.0,20388,51.6,19455,1.05,76.6,4.7,1087,29185,0.7,0.14,0.67,0.09,0.09,1.03
789,TRAVIS,24.0,7720,55.2,7428,1.04,78.9,4.3,416,11015,0.7,0.14,0.67,0.1,0.08,1.1
790,xertioN,17.0,2100,49.5,1958,1.07,78.4,6.0,116,3029,0.69,0.15,0.65,0.1,0.1,1.12
791,FlykingJVE,19.0,595,53.6,568,1.05,79.8,2.8,32,832,0.72,0.13,0.68,0.08,0.1,1.08
792,rain,27.0,28600,56.3,27764,1.03,80.0,3.4,1520,40176,0.71,0.15,0.69,0.1,0.09,1.03
793,fed9,27.0,1741,44.9,1685,1.03,81.7,3.5,92,2361,0.74,0.14,0.71,0.1,0.1,1.08
794,Andrew,21.0,680,36.9,654,1.04,76.1,2.0,34,929,0.73,0.12,0.7,0.09,0.09,1.04
795,Franke19,28.0,3165,50.2,3072,1.03,76.3,2.3,170,4384,0.72,0.1,0.7,0.09,0.09,1.06
796,BORKUM,25.0,4126,47.1,3963,1.04,78.3,4.1,232,5904,0.7,0.15,0.67,0.1,0.1,1.08
797,pdy,24.0,1769,50.9,1783,0.99,81.9,4.1,91,2389,0.74,0.15,0.75,0.1,0.11,1.08
798,Ayrez,21.0,2182,49.4,2212,0.99,83.6,2.7,112,2948,0.74,0.15,0.75,0.1,0.13,1.09
799,chop,20.0,758,44.5,744,1.02,79.5,2.6,40,1037,0.73,0.13,0.72,0.08,0.12,1.06
800,eizy,24.0,354,41.2,344,1.03,81.6,2.3,20,484,0.73,0.12,0.71,0.1,0.12,1.08
801,Dirty,23.0,4133,43.9,3985,1.04,79.1,4.3,214,5712,0.72,0.14,0.7,0.11,0.12,1.08
802,stfN,29.0,24323,46.5,22898,1.06,75.8,4.0,1318,35023,0.69,0.14,0.65,0.1,0.12,1.03
803,AJ,22.0,1162,47.6,1148,1.01,82.5,3.9,65,1581,0.73,0.15,0.73,0.11,0.11,1.1
804,derps,28.0,503,38.0,497,1.01,79.4,3.2,27,692,0.73,0.13,0.72,0.08,0.11,1.05
805,Asuna,18.0,1589,45.8,1557,1.02,80.0,3.2,82,2209,0.72,0.15,0.7,0.12,0.12,1.1
806,deb0,23.0,773,63.0,775,1.0,85.9,5.3,39,1007,0.77,0.15,0.77,0.09,0.08,1.12
807,moxie,29.0,5545,44.4,5104,1.09,71.6,4.7,323,8190,0.68,0.11,0.62,0.08,0.08,1.03
808,k0ja,25.0,686,45.9,663,1.03,74.4,2.8,37,962,0.71,0.13,0.69,0.1,0.12,1.03
809,Patitek,22.0,7153,51.6,6975,1.03,80.0,3.2,377,9918,0.72,0.13,0.7,0.1,0.1,1.08
810,lauNX,16.0,2464,58.7,2409,1.02,76.7,3.0,131,3423,0.72,0.11,0.7,0.1,0.1,1.06
811,X5G7V,18.0,2209,46.2,2089,1.06,76.7,3.5,118,3160,0.7,0.12,0.66,0.09,0.09,1.07
812,xillian,29.0,337,57.9,330,1.02,76.5,3.4,20,487,0.69,0.13,0.68,0.09,0.1,1.05
814,Cyrix,19.0,1529,29.3,1472,1.04,74.9,3.8,83,2174,0.7,0.1,0.68,0.1,0.12,1.07
815,Boaster,26.0,2739,46.2,2620,1.05,78.6,3.1,147,3865,0.71,0.15,0.68,0.1,0.11,1.03
817,yNc,25.0,989,52.7,922,1.07,73.1,2.8,58,1449,0.68,0.13,0.64,0.1,0.12,1.07
818,Xyp9x,26.0,32236,41.7,29683,1.09,75.5,6.2,1865,48491,0.66,0.16,0.61,0.08,0.09,1.03
819,xReal,22.0,1279,55.3,1297,0.99,79.5,3.0,67,1764,0.73,0.13,0.74,0.1,0.09,1.08
820,tensai,24.0,3455,53.0,3404,1.01,76.7,4.1,189,4857,0.71,0.12,0.7,0.11,0.11,1.06
821,fl0m,29.0,11713,29.8,11099,1.06,74.2,3.5,633,16715,0.7,0.12,0.66,0.1,0.1,1.03
822,JDubs,22.0,2179,52.7,2114,1.03,80.0,3.1,115,2977,0.73,0.14,0.71,0.11,0.13,1.09
823,armen,21.0,577,51.1,554,1.04,78.3,4.1,29,801,0.72,0.14,0.69,0.1,0.19,1.09
824,aizy,25.0,28791,50.4,27613,1.04,75.6,4.3,1563,41178,0.7,0.14,0.67,0.1,0.1,1.03
825,Andyy,24.0,4672,26.3,4341,1.08,69.9,2.5,256,6715,0.7,0.07,0.65,0.08,0.09,1.04
826,bullet girl,27.0,564,35.8,546,1.03,74.5,4.6,32,800,0.7,0.14,0.68,0.1,0.11,1.06
827,N1ghtraid,24.0,1173,31.2,1142,1.03,76.7,3.3,62,1615,0.73,0.11,0.71,0.11,0.1,1.08
829,rochet,24.0,3770,52.1,3618,1.04,80.2,3.1,199,5167,0.73,0.13,0.7,0.08,0.09,1.08
830,points,24.0,2991,52.0,2871,1.04,76.7,3.1,168,4171,0.72,0.13,0.69,0.1,0.1,1.03
831,Krad,22.0,19517,49.0,18814,1.04,77.4,4.7,1052,27901,0.7,0.14,0.67,0.09,0.1,1.08
832,laser,20.0,2366,52.1,2289,1.03,75.0,3.1,126,3343,0.71,0.11,0.68,0.09,0.1,1.04
833,shuadapai,31.0,9880,52.4,9388,1.05,76.0,3.5,549,14214,0.7,0.14,0.66,0.11,0.11,1.08
834,Mes,25.0,1040,48.4,1018,1.02,76.7,3.8,57,1484,0.7,0.11,0.69,0.07,0.08,1.04
835,FrostMisty,28.0,6710,41.8,6299,1.07,79.0,2.8,376,9498,0.71,0.14,0.66,0.09,0.1,1.03
836,FASHR,25.0,11122,49.3,10779,1.03,78.2,5.2,598,15725,0.71,0.15,0.69,0.11,0.12,1.09
837,Slayness,27.0,946,49.4,899,1.05,73.6,4.3,53,1357,0.7,0.12,0.66,0.08,0.12,1.03
838,RIKO,25.0,7573,52.7,7418,1.02,77.6,3.4,406,10568,0.72,0.13,0.7,0.1,0.11,1.06
839,tom1jed,19.0,2095,68.0,2104,1.0,77.6,3.7,115,2882,0.73,0.13,0.73,0.12,0.12,1.07
840,Maluk3,31.0,17261,29.2,16152,1.07,72.6,5.2,964,24987,0.69,0.11,0.65,0.09,0.09,1.07
841,crony,22.0,487,45.2,474,1.03,80.1,4.5,27,683,0.71,0.17,0.69,0.12,0.13,1.07
842,feelix,26.0,809,40.3,785,1.03,76.8,2.2,45,1113,0.73,0.12,0.71,0.11,0.11,1.03
843,teiv,19.0,707,39.6,650,1.09,73.2,3.2,41,1047,0.68,0.13,0.62,0.11,0.12,1.06
844,dennis,30.0,29842,54.4,28702,1.04,76.5,4.0,1575,41834,0.71,0.12,0.69,0.09,0.1,1.03
845,food,25.0,8248,50.2,7868,1.05,77.2,3.9,456,11711,0.7,0.14,0.67,0.11,0.11,1.03
846,adaro,22.0,1536,49.0,1490,1.03,76.9,5.7,85,2185,0.7,0.14,0.68,0.1,0.11,1.08
847,tomsku,27.0,1332,34.2,1312,1.02,72.3,2.2,72,1895,0.7,0.09,0.69,0.08,0.09,1.03
848,Staehr,17.0,1794,49.8,1713,1.05,78.0,7.1,96,2541,0.71,0.15,0.67,0.1,0.11,1.08
849,sausol,21.0,4484,50.1,4274,1.05,76.3,4.6,238,6447,0.7,0.12,0.66,0.08,0.1,1.06
850,BeaKie,20.0,1627,42.0,1575,1.03,81.0,6.8,85,2241,0.73,0.15,0.7,0.11,0.12,1.08
851,NOPEEJ,20.0,6214,52.6,5830,1.07,75.7,5.1,335,8930,0.7,0.13,0.65,0.1,0.14,1.07
852,Niffy,20.0,5908,51.2,5623,1.05,75.2,4.2,329,8451,0.7,0.13,0.67,0.11,0.13,1.07
853,JDC,21.0,7207,51.9,6934,1.04,77.3,2.9,391,10235,0.7,0.13,0.68,0.1,0.11,1.07
854,pashaBiceps,33.0,29501,37.3,28482,1.04,72.5,4.2,1592,41228,0.72,0.13,0.69,0.08,0.08,1.02
855,mindfreak,22.0,2329,49.2,2259,1.03,78.2,2.6,127,3271,0.71,0.14,0.69,0.1,0.11,1.02
856,niko,23.0,21598,49.4,20490,1.05,75.2,4.2,1181,31195,0.69,0.13,0.66,0.1,0.11,1.02
857,hoody,23.0,10871,49.6,10469,1.04,77.2,3.7,575,15453,0.7,0.13,0.68,0.09,0.1,1.07
858,fdeN,27.0,1944,40.4,1840,1.06,77.0,4.5,105,2741,0.71,0.13,0.67,0.09,0.11,1.09
859,CyberFocus,26.0,9080,29.7,8760,1.04,74.2,2.0,491,12779,0.71,0.11,0.69,0.08,0.08,1.02
860,LyGHT,30.0,4137,31.9,4004,1.03,70.6,2.1,225,5921,0.7,0.08,0.68,0.08,0.08,1.02
861,mummAy,27.0,600,26.0,572,1.05,73.7,2.3,33,837,0.72,0.1,0.68,0.1,0.12,1.06
862,kolor,22.0,10104,27.5,9780,1.03,73.5,2.1,545,14248,0.71,0.11,0.69,0.1,0.12,1.06
